,Quarter,Tm,Detail,MIA,PIT
0,1.0,Steelers,Sidney Thornton 1 yard rush (Matt Bahr kick),0,7
1,1.0,Steelers,John Stallworth 17 yard pass from Terry Bradshaw,0,13
2,1.0,Steelers,Lynn Swann 20 yard pass from Terry Bradshaw (Matt Bahr kick),0,20
3,3.0,Dolphins,Duriel Harris 7 yard pass from Bob Griese (Uwe von Schamann kick),7,20
4,3.0,Steelers,Rocky Bleier 1 yard rush (Matt Bahr kick),7,27
5,4.0,Steelers,Franco Harris 5 yard rush (Matt Bahr kick),7,34
6,4.0,Dolphins,Larry Csonka 1 yard rush (Uwe von Schamann kick),14,34
