,Quarter,Tm,Detail,BUF,FRN
0,1.0,Yellow Jackets,Johnny Budd 30 yard field goal,0,3
1,2.0,Yellow Jackets,Doc Bruder 4 yard rush (Johnny Budd kick),0,10
2,3.0,Yellow Jackets,Hust Stockton 38 yard rush,0,16
3,4.0,Yellow Jackets,Tex Hamer 10 yard rush (Johnny Budd kick),0,23
4,4.0,Yellow Jackets,Ned Wilcox unknown yard rush (Johnny Budd kick),0,30
