,Quarter,Tm,Detail,CLE,AKR
0,1.0,Bulldogs,Wooky Roberts unknown yard pass from Hoge Workman (Hoge Workman kick),7,0
1,1.0,Bulldogs,Doc Elliott unknown yard rush,13,0
2,2.0,Bulldogs,Doc Elliott unknown yard rush (Doc Elliott kick),20,0
3,3.0,Pros,John Barrett blocked punt recovery in end zone (Paul Hogan kick),20,7
