,Quarter,Tm,Detail,BOS,PHI
0,1.0,Eagles,Ernie Steele 56 yard rush (Roy Zimmerman kick),0,7
1,1.0,Eagles,Roy Zimmerman 49 yard field goal,0,10
2,2.0,Eagles,Steve Van Buren 55 yard punt return (Roy Zimmerman kick),0,17
3,2.0,Eagles,Mel Bleeker 18 yard rush (Roy Zimmerman kick),0,24
4,3.0,Eagles,Mel Bleeker 75 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,31
5,4.0,Eagles,John Durko 23 yard pass from Allie Sherman (Roy Zimmerman kick),0,38
