,Quarter,Time,Tm,Detail,NYG,KAN
0,1.0,12:20,Giants,Morten Andersen 42 yard field goal,3,0
1,2.0,14:55,Giants,Ron Dayne 7 yard rush (Morten Andersen kick),10,0
2,2.0,0:00,Giants,Morten Andersen 34 yard field goal,13,0
3,3.0,6:15,Chiefs,Todd Peterson 33 yard field goal,13,3
