,Quarter,Time,Tm,Detail,RAM,KAN
0,1.0,,Rams,Tony Zendejas 29 yard field goal,3,0
1,1.0,,Rams,Flipper Anderson 72 yard pass from Chris Chandler (Tony Zendejas kick),10,0
2,1.0,,Rams,Tony Zendejas 23 yard field goal,13,0
3,3.0,,Rams,Tony Zendejas 28 yard field goal,16,0
