,Quarter,Time,Tm,Detail,ARI,TAM
0,1.0,6:17,Buccaneers,Mike Williams 8 yard pass from Mike Glennon (Rian Lindell kick),0,7
1,2.0,0:27,Buccaneers,Rian Lindell 50 yard field goal,0,10
2,4.0,11:16,Cardinals,Jay Feely 42 yard field goal,3,10
3,4.0,3:06,Cardinals,Larry Fitzgerald 13 yard pass from Carson Palmer (Jay Feely kick),10,10
4,4.0,1:29,Cardinals,Jay Feely 27 yard field goal,13,10
