,Quarter,Tm,Detail,NWE,RAM
0,3,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),0,7
1,4,Rams,Cleveland Gary 9 yard rush (Tony Zendejas kick),0,14
