,Quarter,Tm,Detail,HOU,NYJ
0,1.0,Oilers,Tony Zendejas 30 yard field goal,3,0
1,1.0,Jets,Kurt Sohn 8 yard pass from Ken O'Brien (Pat Leahy kick),3,7
2,1.0,Jets,Freeman McNeil 8 yard rush (Pat Leahy kick),3,14
3,2.0,Jets,Wesley Walker 50 yard pass from Ken O'Brien (Pat Leahy kick),3,21
4,2.0,Jets,Wesley Walker 4 yard pass from Ken O'Brien (Pat Leahy kick),3,28
5,3.0,Jets,Pat Leahy 47 yard field goal,3,31
6,4.0,Jets,Wesley Walker 23 yard pass from Pat Ryan (Pat Leahy kick),3,38
7,4.0,Jets,Mike Zordich 35 yard interception return (Pat Leahy kick),3,45
