,Quarter,Time,Tm,Detail,MIN,IND
0,1.0,7:48,Vikings,Blair Walsh 51 yard field goal,3,0
1,1.0,0:49,Colts,Dwayne Allen 3 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2,2.0,11:38,Vikings,Blair Walsh 29 yard field goal,6,7
3,2.0,1:49,Colts,Adam Vinatieri 26 yard field goal,6,10
4,2.0,0:07,Colts,Reggie Wayne 30 yard pass from Andrew Luck (Adam Vinatieri kick),6,17
5,3.0,7:06,Colts,Adam Vinatieri 45 yard field goal,6,20
6,4.0,5:07,Vikings,Stephen Burton 7 yard pass from Christian Ponder (Blair Walsh kick),13,20
7,4.0,0:31,Vikings,Kyle Rudolph 6 yard pass from Christian Ponder (Blair Walsh kick),20,20
8,4.0,0:08,Colts,Adam Vinatieri 53 yard field goal,20,23
