,Quarter,Time,Tm,Detail,DEN,PHI
0,1.0,10:35,Broncos,Brandon McManus 52 yard field goal,3,0
1,1.0,6:34,Eagles,Alshon Jeffery 32 yard pass from Carson Wentz (Jake Elliott kick),3,7
2,1.0,1:53,Eagles,Jake Elliott 45 yard field goal,3,10
3,1.0,0:53,Eagles,Corey Clement 15 yard pass from Carson Wentz (Jake Elliott kick),3,17
4,2.0,11:05,Broncos,Brandon McManus 53 yard field goal,6,17
5,2.0,9:15,Eagles,Trey Burton 27 yard pass from Carson Wentz (Jake Elliott kick),6,24
6,2.0,3:03,Broncos,Brandon McManus 24 yard field goal,9,24
7,2.0,1:20,Eagles,Jay Ajayi 46 yard rush (Jake Elliott kick),9,31
8,3.0,7:32,Eagles,Corey Clement 2 yard rush (Jake Elliott kick),9,38
9,3.0,3:00,Eagles,Alshon Jeffery 4 yard pass from Carson Wentz (Jake Elliott kick failed),9,44
10,4.0,9:45,Broncos,Demaryius Thomas 1 yard pass from Brock Osweiler (Brandon McManus kick),16,44
11,4.0,8:09,Broncos,Brandon Marshall 19 yard fumble return (Brandon McManus kick),23,44
12,4.0,4:44,Eagles,Corey Clement 4 yard rush (Jake Elliott kick),23,51
