,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,2:23,Buccaneers,Ike Hilliard 6 yard pass from Bruce Gradkowski (Matt Bryant kick),7,0
1,3.0,12:52,Panthers,John Kasay 28 yard field goal,7,3
2,3.0,8:27,Panthers,Keyshawn Johnson 4 yard pass from Jake Delhomme (John Kasay kick),7,10
3,3.0,1:50,Panthers,Brad Hoover 5 yard rush (John Kasay kick),7,17
4,4.0,8:32,Buccaneers,Matt Bryant 28 yard field goal,10,17
5,4.0,3:11,Panthers,Steve Smith 36 yard pass from Jake Delhomme (John Kasay kick),10,24
