,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,George Rogers 2 yard rush (Max Zendejas kick),0,7
1,2.0,Redskins,Art Monk 16 yard pass from Jay Schroeder (Max Zendejas kick),0,14
2,2.0,Redskins,Clint Didier 21 yard pass from Jay Schroeder (Max Zendejas kick),0,21
3,2.0,Cardinals,Earl Ferrell 8 yard pass from Neil Lomax (John Lee kick),7,21
4,3.0,Redskins,Gary Clark 16 yard pass from Jay Schroeder (Max Zendejas kick),7,28
5,3.0,Cardinals,J.T. Smith 7 yard pass from Neil Lomax (John Lee kick),14,28
6,4.0,Cardinals,Earl Ferrell 15 yard pass from Neil Lomax (John Lee kick),21,28
