,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Eddie Price 1 yard rush (Ray Poole kick),0,7
1,2.0,Cardinals,Don Paul 34 yard pass from Frank Tripucka (Vinnie Yablonski kick),7,7
2,2.0,Cardinals,Vinnie Yablonski 11 yard field goal,10,7
3,2.0,Giants,Emlen Tunnell 81 yard punt return (Ray Poole kick),10,14
4,2.0,Cardinals,Don Paul 24 yard pass from Charley Trippi (Vinnie Yablonski kick),17,14
5,4.0,Giants,Eddie Price 25 yard rush (Ray Poole kick),17,21
6,4.0,Giants,Kyle Rote 12 yard rush (Ray Poole kick),17,28
