,Quarter,Tm,Detail,BUF,BAL
0,1.0,Bills,John Leypoldt 36 yard field goal,3,0
1,1.0,Colts,Cotton Speyrer 101 yard kickoff return (George Hunt kick),3,7
2,2.0,Bills,O.J. Simpson 58 yard rush (John Leypoldt kick),10,7
3,4.0,Colts,Tom Mitchell 11 yard pass from Marty Domres (George Hunt kick),10,14
4,4.0,Colts,George Hunt 27 yard field goal,10,17
5,4.0,Bills,Bob Chandler 37 yard pass from Joe Ferguson (John Leypoldt kick),17,17
6,4.0,Bills,Dwight Harrison 31 yard interception return (John Leypoldt kick),24,17
