,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Jim Bakken 19 yard field goal,0,3
1,1.0,Cardinals,Jim Bakken 46 yard field goal,0,6
2,2.0,Eagles,Sam Baker 15 yard field goal,3,6
3,2.0,Eagles,Tom Woodeshick 12 yard rush (Sam Baker kick),10,6
4,3.0,Eagles,Fred Hill 11 yard pass from Norm Snead (Sam Baker kick),17,6
5,3.0,Eagles,Sam Baker 40 yard field goal,20,6
6,3.0,Cardinals,Cid Edwards 3 yard rush (Jim Bakken kick),20,13
7,4.0,Cardinals,Jim Bakken 46 yard field goal,20,16
8,4.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),20,23
9,4.0,Eagles,Leroy Keyes 12 yard rush (Sam Baker kick),27,23
10,4.0,Cardinals,John Gilliam 43 yard pass from Jim Hart (Jim Bakken kick),27,30
11,4.0,Eagles,Gary Ballman 23 yard pass from Norm Snead (Sam Baker kick),34,30
