,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Jon Arnett 98 yard kickoff return (Paige Cothren kick),0,7
1,1.0,Bears,Vic Zucco 43 yard fumble return (George Blanda kick),7,7
2,1.0,Rams,Paige Cothren 29 yard field goal,7,10
3,2.0,Bears,George Blanda 29 yard field goal,10,10
4,3.0,Bears,George Blanda 17 yard field goal,13,10
5,4.0,Bears,George Blanda 22 yard field goal,16,10
