,Quarter,Time,Tm,Detail,LAC,MIA
0,1.0,10:17,Chargers,Ty Long 44 yard field goal,3,0
1,1.0,6:39,Dolphins,DeVante Parker 34 yard pass from Josh Rosen (Jason Sanders kick),3,7
2,1.0,2:53,Chargers,Troymaine Pope 13 yard pass from Philip Rivers (Ty Long kick),10,7
3,2.0,11:15,Dolphins,Jason Sanders 30 yard field goal,10,10
4,2.0,0:50,Chargers,Austin Ekeler 18 yard pass from Philip Rivers (Ty Long kick),17,10
5,3.0,1:27,Chargers,Ty Long 45 yard field goal,20,10
6,4.0,11:24,Chargers,Austin Ekeler 1 yard rush (Ty Long kick),27,10
7,4.0,7:32,Chargers,Ty Long 51 yard field goal,30,10
