,Quarter,Time,Tm,Detail,SDG,PHI
0,1.0,,Eagles,Ricky Watters 4 yard pass from Randall Cunningham (Gary Anderson kick),0,7
1,2.0,2:22,Eagles,Fred Barnett 1 yard pass from Randall Cunningham (Gary Anderson kick),0,14
2,2.0,2:22,Chargers,Shawn Jefferson 38 yard pass from Stan Humphries (John Carney kick),7,14
3,2.0,2:22,Chargers,John Carney 35 yard field goal,10,14
4,2.0,2:22,Chargers,Junior Seau 29 yard defensive fumble return (John Carney kick),17,14
5,3.0,2:22,Chargers,Andre Coleman 88 yard punt return (John Carney kick),24,14
6,3.0,2:22,Chargers,John Carney 21 yard field goal,27,14
7,3.0,2:22,Eagles,Ed West 3 yard pass from Randall Cunningham (Gary Anderson kick),27,21
