,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,2:08,Eagles,David Akers 27 yard field goal,0,3
1,2.0,12:55,Giants,Matt Bryant 26 yard field goal,3,3
2,2.0,5:23,Eagles,David Akers 36 yard field goal,3,6
3,2.0,0:43,Eagles,David Akers 35 yard field goal,3,9
4,4.0,10:30,Eagles,Donovan McNabb 40 yard rush (Chad Lewis pass from Donovan McNabb),3,17
