,Quarter,Time,Tm,Detail,NWE,PIT
0,1.0,,Patriots,Matt Bahr 23 yard field goal,3,0
1,2.0,,Steelers,Norm Johnson 32 yard field goal,3,3
2,2.0,,Patriots,Matt Bahr 22 yard field goal,6,3
3,2.0,,Steelers,Yancey Thigpen 14 yard pass from Neil O'Donnell (Norm Johnson kick),6,10
4,2.0,,Steelers,Brentson Buckner 46 yard defensive fumble return (Norm Johnson kick),6,17
5,3.0,,Patriots,Ben Coates 6 yard pass from Drew Bledsoe (run failed),12,17
6,3.0,,Steelers,Kordell Stewart 22 yard rush (Norm Johnson kick),12,24
7,4.0,,Patriots,Ben Coates 6 yard pass from Drew Bledsoe (Matt Bahr kick),19,24
8,4.0,,Steelers,Norm Johnson 32 yard field goal,19,27
9,4.0,,Patriots,Curtis Martin 22 yard pass from Drew Bledsoe (Dave Meggett pass from Drew Bledsoe),27,27
10,4.0,,Steelers,Ernie Mills 62 yard pass from Neil O'Donnell (Norm Johnson kick),27,34
11,4.0,,Steelers,Chris Oldham 23 yard defensive fumble return (Norm Johnson kick),27,41
