,Quarter,Time,Tm,Detail,STL,MIN
0,1,10:19,Vikings,Blair Walsh 34 yard field goal,0,3
1,1,5:24,Vikings,Adrian Peterson 6 yard rush (Blair Walsh kick),0,10
2,1,1:09,Rams,Todd Gurley 1 yard rush (run failed),6,10
3,2,10:55,Rams,Greg Zuerlein 61 yard field goal,9,10
4,2,3:23,Rams,Greg Zuerlein 35 yard field goal,12,10
5,2,0:00,Rams,Greg Zuerlein 45 yard field goal,15,10
6,3,8:39,Vikings,Teddy Bridgewater 6 yard rush (Teddy Bridgewater run),15,18
7,4,0:12,Rams,Greg Zuerlein 53 yard field goal,18,18
8,OT,9:20,Vikings,Blair Walsh 40 yard field goal,18,21
