,Quarter,Tm,Detail,WAS,DET
0,1.0,Redskins,Jimmy Johnston 65 yard rush (Bob Masterson kick),7,0
1,2.0,Redskins,Bob McChesney 10 yard pass from Frank Filchock,13,0
2,2.0,Lions,Paul Moore 14 yard pass from Cotton Price (Chuck Hanneman kick),13,7
3,3.0,Lions,Howie Weiss 78 yard fumble return (Chuck Hanneman kick),13,14
4,4.0,Redskins,Dick Todd 51 yard rush (Bo Russell kick),20,14
