,Quarter,Time,Tm,Detail,JAX,CLE
0,1.0,10:57,Browns,Phil Dawson 27 yard field goal,0,3
1,1.0,2:20,Jaguars,Josh Scobee 47 yard field goal,3,3
2,2.0,3:51,Browns,Josh Cribbs 14 yard rush (Phil Dawson kick),3,10
3,2.0,1:44,Browns,Phil Dawson 21 yard field goal,3,13
4,3.0,4:03,Browns,Jerome Harrison 6 yard rush (Phil Dawson kick),3,20
5,4.0,10:30,Jaguars,Zach Miller 6 yard pass from David Garrard (Josh Scobee kick),10,20
6,4.0,2:17,Browns,Phil Dawson 33 yard field goal,10,23
7,4.0,0:00,Jaguars,Zach Miller 15 yard pass from David Garrard (Josh Scobee kick),17,23
