,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Horst Muhlmann 26 yard field goal,3,0
1,1.0,Packers,Ken Payne 44 yard pass from Lynn Dickey (Chester Marcol kick),3,7
2,2.0,Eagles,Horst Muhlmann 26 yard field goal,6,7
3,2.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),6,14
4,2.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),6,21
5,4.0,Eagles,Mike Boryla 1 yard rush (Horst Muhlmann kick),13,21
6,4.0,Packers,Willard Harrell 69 yard pass from Lynn Dickey (Chester Marcol kick),13,28
