,Quarter,Time,Tm,Detail,WAS,SEA
0,1.0,3:45,Seahawks,Leonard Weaver 17 yard rush (Josh Brown kick),0,7
1,2.0,8:58,Seahawks,Josh Brown 50 yard field goal,0,10
2,3.0,4:30,Seahawks,Josh Brown 33 yard field goal,0,13
3,4.0,14:53,Redskins,Antwaan Randle El 7 yard pass from Todd Collins (Shaun Suisham kick),7,13
4,4.0,12:38,Redskins,Santana Moss 30 yard pass from Todd Collins (Shaun Suisham kick),14,13
5,4.0,6:06,Seahawks,D.J. Hackett 20 yard pass from Matt Hasselbeck (Marcus Pollard pass from Matt Hasselbeck ),14,21
6,4.0,5:38,Seahawks,Marcus Trufant 78 yard interception return (Josh Brown kick),14,28
7,4.0,0:27,Seahawks,Jordan Babineaux 57 yard interception return (Josh Brown kick),14,35
