,Quarter,Tm,Detail,NOR,NYG
0,1.0,Saints,Archie Manning 1 yard rush (Rich Szaro kick),7,0
1,2.0,Giants,Doug Kotar 1 yard rush (George Hunt kick),7,7
2,3.0,Giants,Rondy Colbert 65 yard punt return (George Hunt kick),7,14
3,3.0,Giants,Doug Kotar 46 yard rush (George Hunt kick),7,21
4,4.0,Saints,Don Herrmann 4 yard pass from Archie Manning (Rich Szaro kick),14,21
5,4.0,Giants,Ray Rhodes 45 yard pass from Craig Morton (George Hunt kick),14,28
