,Quarter,Time,Tm,Detail,ATL,DET
0,1.0,10:26,Lions,Jason Hanson 43 yard field goal,0,3
1,1.0,3:01,Falcons,Matt Bryant 23 yard field goal,3,3
2,1.0,0:04,Falcons,Matt Ryan 1 yard rush (Matt Bryant kick),10,3
3,2.0,10:52,Lions,Jason Hanson 38 yard field goal,10,6
4,2.0,0:25,Falcons,Roddy White 18 yard pass from Matt Ryan (Matt Bryant kick),17,6
5,3.0,7:37,Lions,Jason Hanson 29 yard field goal,17,9
6,3.0,5:04,Falcons,Matt Bryant 47 yard field goal,20,9
7,3.0,1:57,Lions,Calvin Johnson 57 yard pass from Matthew Stafford (Jason Hanson kick),20,16
8,4.0,8:41,Falcons,Matt Bryant 40 yard field goal,23,16
