,Quarter,Tm,Detail,CLE,SDG
0,1,Chargers,Lionel James 15 yard rush (Vince Abbott kick),0,7
1,1,Browns,Webster Slaughter 20 yard pass from Bernie Kosar (Jeff Jaeger kick),7,7
2,1,Chargers,Rod Bernstine 10 yard pass from Dan Fouts (Vince Abbott kick),7,14
3,2,Browns,Brian Brennan 41 yard pass from Bernie Kosar (Jeff Jaeger kick),14,14
4,3,Browns,Jeff Jaeger 41 yard field goal,17,14
5,3,Browns,Earnest Byner 1 yard rush (Jeff Jaeger kick),24,14
6,4,Chargers,Lionel James 22 yard pass from Dan Fouts (Vince Abbott kick),24,21
7,4,Chargers,Vince Abbott 20 yard field goal,24,24
8,OT,Chargers,Vince Abbott 33 yard field goal,24,27
