,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Mel Gray 58 yard punt return (Jason Hanson kick),0,7
1,2.0,Vikings,Fuad Reveiz 52 yard field goal,3,7
2,2.0,Lions,Mel Jenkins 56 yard blocked field goal return (Jason Hanson kick),3,14
3,2.0,Lions,Jason Hanson 35 yard field goal,3,17
4,3.0,Lions,Jerry Ball 21 yard defensive fumble return (Jason Hanson kick),3,24
5,3.0,Lions,Willie Green 16 yard pass from Rodney Peete (Jason Hanson kick),3,31
6,4.0,Vikings,Terry Allen 3 yard rush (Fuad Reveiz kick),10,31
7,4.0,Vikings,Anthony Carter 11 yard pass from Rich Gannon (Fuad Reveiz kick),17,31
