,Quarter,Tm,Detail,MIA,IND
0,1.0,Colts,Rodney Culver 56 yard special teams fumble return (Dean Biasucci kick),0,7
1,1.0,Dolphins,Keith Jackson 40 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,Dolphins,Pete Stoyanovich 20 yard field goal,10,7
3,3.0,Colts,Dean Biasucci 26 yard field goal,10,10
4,3.0,Dolphins,Keith Jackson 27 yard pass from Dan Marino (Pete Stoyanovich kick),17,10
5,4.0,Colts,Sean Dawkins 25 yard pass from Jack Trudeau (Dean Biasucci kick),17,17
6,4.0,Colts,Dean Biasucci 33 yard field goal,17,20
7,4.0,Dolphins,Greg Baty 1 yard pass from Dan Marino (Pete Stoyanovich kick),24,20
