,Quarter,Tm,Detail,RAI,HOU
0,2.0,Oilers,Mike Holston 10 yard pass from Warren Moon (Florian Kempf kick),0,7
1,3.0,Raiders,Marcus Allen 1 yard rush,6,7
2,3.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),13,7
3,4.0,Raiders,Jim Plunkett 1 yard rush (pass failed),19,7
4,4.0,Raiders,Chris Bahr 28 yard field goal,22,7
5,4.0,Raiders,"Safety, holding penalty on Houston in end zone",24,7
6,4.0,Oilers,Mike McCloskey 5 yard pass from Warren Moon (Florian Kempf kick),24,14
