,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Eddie Murray 52 yard field goal,0,3
1,2.0,Bears,Calvin Thomas 1 yard rush (Bob Thomas kick),7,3
2,2.0,Lions,Eddie Murray 45 yard field goal,7,6
3,2.0,Bears,Greg Landry 1 yard rush (Bob Thomas kick),14,6
4,3.0,Bears,Bob Thomas 30 yard field goal,17,6
5,4.0,Bears,Bob Thomas 35 yard field goal,20,6
6,4.0,Bears,Willie Gault 55 yard pass from Greg Landry (Bob Thomas kick),27,6
7,4.0,Bears,Bob Thomas 42 yard field goal,30,6
8,4.0,Lions,James Jones 4 yard pass from Eric Hipple (Eddie Murray kick),30,13
