,Quarter,Tm,Detail,WAS,STL
0,2.0,Redskins,Clarence Harmon 1 yard rush (Mark Moseley kick),7,0
1,2.0,Redskins,Art Monk 54 yard pass from Joe Theismann (Mark Moseley kick),14,0
2,2.0,Redskins,Clarence Harmon 15 yard pass from Joe Theismann (Mark Moseley kick),21,0
3,3.0,Redskins,Mark Moseley 34 yard field goal,24,0
4,4.0,Redskins,Art Monk 2 yard pass from Joe Theismann (Mark Moseley kick),31,0
5,4.0,Cardinals,Theotis Brown 4 yard rush (Neil O'Donoghue kick),31,7
