,Quarter,Tm,Detail,SEA,CHI
0,2.0,Seahawks,Daryl Turner 12 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Bears,Emery Moorehead 3 yard pass from Mike Tomczak (Kevin Butler kick),7,7
2,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),14,7
3,3.0,Bears,Walter Payton 3 yard rush (Kevin Butler kick),14,14
4,3.0,Seahawks,John Williams 75 yard pass from Dave Krieg (Norm Johnson kick),21,14
5,3.0,Seahawks,Norm Johnson 45 yard field goal,24,14
6,3.0,Seahawks,Norm Johnson 29 yard field goal,27,14
7,4.0,Bears,Walter Payton 5 yard rush (Kevin Butler kick),27,21
8,4.0,Seahawks,Curt Warner 4 yard rush (Norm Johnson kick),34,21
