,Quarter,Time,Tm,Detail,NOR,ARI
0,1.0,4:16,Cardinals,Adrian Wilson 35 yard defensive fumble return (Neil Rackers kick),0,7
1,2.0,14:56,Saints,John Carney 20 yard field goal,3,7
2,2.0,1:12,Cardinals,Obafemi Ayanbadejo 21 yard pass from Emmitt Smith (Neil Rackers kick),3,14
3,3.0,13:02,Saints,Mel Mitchell blocked punt recovery in end zone (John Carney kick),10,14
4,3.0,1:29,Cardinals,Neil Rackers 26 yard field goal,10,17
5,4.0,9:44,Cardinals,Neil Rackers 33 yard field goal,10,20
6,4.0,5:02,Cardinals,Emmitt Smith 29 yard rush (Neil Rackers kick),10,27
7,4.0,1:54,Cardinals,Troy Hambrick 11 yard rush (Neil Rackers kick),10,34
