,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Al Dixon 29 yard pass from Joe Pisarcik (Joe Danelo kick),0,7
1,1.0,Giants,Larry Csonka 1 yard rush (Joe Danelo kick),0,14
2,2.0,Giants,Joe Danelo 52 yard field goal,0,17
3,2.0,49ers,Ray Wersching 30 yard field goal,3,17
4,3.0,Giants,Willie Spencer 1 yard rush (Joe Danelo kick),3,24
5,3.0,Giants,Joe Danelo 28 yard field goal,3,27
6,4.0,49ers,Steve DeBerg 2 yard rush (Ray Wersching kick),10,27
