,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Raymond Berry 20 yard pass from Johnny Unitas,0,6
1,1.0,Colts,Lou Michaels 30 yard field goal,0,9
2,2.0,Colts,Steve Stonebreaker 8 yard defensive fumble return (Lou Michaels kick),0,16
3,2.0,Colts,Lenny Moore 2 yard rush (Lou Michaels kick),0,23
4,4.0,49ers,Dave Parks 2 yard pass from John Brodie (Tommy Davis kick),7,23
5,4.0,Colts,Lenny Moore 5 yard rush (Lou Michaels kick),7,30
6,4.0,Colts,Joe Don Looney 1 yard pass from Gary Cuozzo (Lou Michaels kick),7,37
