,Quarter,Tm,Detail,RAI,KAN
0,2.0,Chiefs,Fred Jones 11 yard pass from Steve DeBerg (Nick Lowery kick),0,7
1,2.0,Raiders,Jeff Jaeger 32 yard field goal,3,7
2,3.0,Raiders,Jeff Jaeger 26 yard field goal,6,7
3,4.0,Chiefs,Nick Lowery 18 yard field goal,6,10
