,Quarter,Time,Tm,Detail,NOR,MIN
0,1.0,,Vikings,Cris Carter 14 yard pass from Brad Johnson (Gary Anderson kick),0,7
1,2.0,1:38,Vikings,Gary Anderson 28 yard field goal,0,10
2,2.0,1:28,Vikings,Leroy Hoard 4 yard rush (Gary Anderson kick),0,17
3,2.0,1:28,Saints,Aaron Craver 100 yard kickoff return (Doug Brien kick),7,17
4,3.0,1:28,Saints,Doug Brien 20 yard field goal,10,17
5,3.0,7:56,Vikings,Robert Smith 61 yard rush (Gary Anderson kick),10,24
6,3.0,7:56,Saints,Aaron Craver 9 yard pass from Billy Joe Tolliver (Doug Brien kick),17,24
7,4.0,7:56,Saints,Sammy Knight 91 yard interception return (Doug Brien kick),24,24
8,4.0,7:56,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),24,31
