,Quarter,Tm,Detail,ATL,SDG
0,1.0,Falcons,Mike Pritchard 14 yard pass from Chris Miller (Norm Johnson kick),7,0
1,2.0,Falcons,Norm Johnson 28 yard field goal,10,0
2,2.0,Chargers,Anthony Miller 15 yard pass from John Friesz (John Carney kick),10,7
3,3.0,Falcons,Norm Johnson 36 yard field goal,13,7
4,4.0,Chargers,John Carney 39 yard field goal,13,10
