,Quarter,Tm,Detail,RAM,DEN
0,1.0,Rams,Henry Ellard 23 yard pass from Jim Everett (Mike Lansford kick),7,0
1,2.0,Broncos,Mark Jackson 39 yard pass from John Elway (Rich Karlis kick),7,7
2,2.0,Rams,Mike Lansford 23 yard field goal,10,7
3,2.0,Broncos,John Elway 1 yard rush (Rich Karlis kick),10,14
4,3.0,Broncos,Mark Jackson 58 yard pass from John Elway (Rich Karlis kick),10,21
5,3.0,Broncos,Vance Johnson 14 yard pass from John Elway (Rich Karlis kick),10,28
6,3.0,Broncos,Sammy Winder 7 yard pass from Tony Dorsett (Rich Karlis kick),10,35
7,3.0,Rams,Henry Ellard 54 yard pass from Jim Everett (Mike Lansford kick),17,35
8,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),24,35
