,Quarter,Time,Tm,Detail,ARI,CHI
0,1.0,12:12,Cardinals,Larry Fitzgerald 11 yard pass from Kurt Warner (Neil Rackers kick),7,0
1,1.0,9:13,Bears,Greg Olsen 33 yard pass from Jay Cutler (Robbie Gould kick),7,7
2,1.0,3:26,Cardinals,Ben Patrick 6 yard pass from Kurt Warner (Neil Rackers kick),14,7
3,2.0,11:19,Cardinals,Larry Fitzgerald 17 yard pass from Kurt Warner (Neil Rackers kick),21,7
4,2.0,2:49,Cardinals,Anthony Becht 15 yard pass from Kurt Warner (Neil Rackers kick),28,7
5,2.0,0:00,Cardinals,Neil Rackers 43 yard field goal,31,7
6,3.0,7:46,Cardinals,Neil Rackers 30 yard field goal,34,7
7,4.0,11:50,Bears,Greg Olsen 3 yard pass from Jay Cutler (Robbie Gould kick),34,14
8,4.0,9:04,Bears,Greg Olsen 20 yard pass from Jay Cutler (Robbie Gould kick),34,21
9,4.0,4:30,Cardinals,Steve Breaston 4 yard pass from Kurt Warner (Neil Rackers kick),41,21
