,Quarter,Tm,Detail,BAL,CLE
0,1.0,Browns,Frank Pitts 26 yard pass from Mike Phipps (Don Cockroft kick),0,7
1,2.0,Colts,Cotton Speyrer 33 yard pass from Bert Jones (George Hunt kick),7,7
2,2.0,Browns,Don Cockroft 14 yard field goal,7,10
3,2.0,Browns,Clarence Scott 45 yard interception return (Don Cockroft kick),7,17
4,3.0,Colts,Ted Hendricks 2 yard blocked punt return (George Hunt kick),14,17
5,3.0,Browns,Frank Pitts 8 yard pass from Mike Phipps (Don Cockroft kick),14,24
