,Quarter,Tm,Detail,GNB,TAM
0,2.0,Packers,Chester Marcol 40 yard field goal,3,0
1,2.0,Packers,Chester Marcol 44 yard field goal,6,0
2,3.0,Packers,Eric Torkelson 5 yard rush (Chester Marcol kick),13,0
