,Quarter,Time,Tm,Detail,IND,CAR
0,1.0,,Colts,Sean Dawkins 31 yard pass from Jim Harbaugh (Cary Blanchard kick),7,0
1,1.0,,Colts,Cary Blanchard 47 yard field goal,10,0
2,2.0,,Panthers,Kerry Collins 2 yard rush (John Kasay kick),10,7
3,2.0,,Panthers,John Kasay 34 yard field goal,10,10
4,4.0,,Panthers,John Kasay 38 yard field goal,10,13
