,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Chris Miller 1 yard rush (Greg Davis kick),0,7
1,1.0,Saints,Floyd Turner 68 yard pass from John Fourcade (Morten Andersen kick),7,7
2,2.0,Falcons,Shawn Collins 9 yard pass from Chris Miller (Greg Davis kick),7,14
3,2.0,Saints,John Fourcade 5 yard rush (Morten Andersen kick),14,14
4,2.0,Saints,Morten Andersen 46 yard field goal,17,14
5,3.0,Falcons,Andre Rison 20 yard pass from Chris Miller (Greg Davis kick),17,21
6,3.0,Saints,Hoby Brenner 3 yard pass from John Fourcade (Morten Andersen kick),24,21
7,4.0,Saints,Morten Andersen 23 yard field goal,27,21
8,4.0,Falcons,Andre Rison 3 yard pass from Chris Miller (Greg Davis kick),27,28
