,Quarter,Time,Tm,Detail,ARI,CAR
0,1.0,14:04,Cardinals,Ronald McKinnon 25 yard defensive fumble return (Cedric Oglesby kick),7,0
1,2.0,14:56,Cardinals,Cedric Oglesby 41 yard field goal,10,0
2,2.0,12:36,Cardinals,David Boston 61 yard pass from Jake Plummer (Cedric Oglesby kick),17,0
3,2.0,9:46,Cardinals,David Boston 5 yard pass from Jake Plummer (Cedric Oglesby kick),24,0
4,2.0,2:38,Panthers,Donald Hayes 7 yard pass from Chris Weinke (John Kasay kick),24,7
5,2.0,0:00,Cardinals,Cedric Oglesby 18 yard field goal,27,7
6,3.0,11:27,Cardinals,Cedric Oglesby 26 yard field goal,30,7
