,Quarter,Tm,Detail,MIN,DET
0,2.0,Vikings,Rick Danmeier 40 yard field goal,3,0
1,3.0,Lions,Benny Ricardo 33 yard field goal,3,3
2,3.0,Vikings,Chuck Foreman 2 yard rush (Rick Danmeier kick),10,3
3,4.0,Vikings,Rick Danmeier 31 yard field goal,13,3
4,4.0,Lions,Rick Kane 10 yard pass from Jeff Komlo (Benny Ricardo kick),13,10
