,Quarter,Time,Tm,Detail,HOU,CIN
0,1.0,1:28,Bengals,Mike Nugent 42 yard field goal,0,3
1,2.0,12:16,Texans,Nick Novak 22 yard field goal,3,3
2,2.0,5:26,Bengals,Mike Nugent 39 yard field goal,3,6
3,4.0,14:20,Texans,DeAndre Hopkins 22 yard pass from T.J. Yates (Nick Novak kick),10,6
