,Quarter,Tm,Detail,BAL,NYG
0,1.0,Giants,Alex Webster 5 yard rush (Pat Summerall kick),0,7
1,1.0,Colts,Lenny Moore 36 yard pass from George Shaw (Steve Myhra kick),7,7
2,2.0,Colts,Raymond Berry 23 yard pass from George Shaw (Steve Myhra kick),14,7
3,3.0,Giants,Kyle Rote 25 yard pass from Charlie Conerly (Pat Summerall kick),14,14
4,3.0,Giants,Frank Gifford 13 yard rush (Pat Summerall kick),14,21
5,4.0,Colts,Lenny Moore 4 yard pass from George Shaw (Steve Myhra kick),21,21
6,4.0,Giants,Pat Summerall 28 yard field goal,21,24
