,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Chester Marcol 44 yard field goal,0,3
1,1.0,Packers,Chester Marcol 32 yard field goal,0,6
2,2.0,Packers,Chester Marcol 35 yard field goal,0,9
3,2.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),7,9
4,3.0,Falcons,Bill Bell 24 yard field goal,10,9
