,Quarter,Tm,Detail,SDG,PIT
0,2.0,Steelers,Roy Gerela 36 yard field goal,0,3
1,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),0,10
2,4.0,Steelers,Ernest Pough 11 yard pass from Terry Bradshaw (Roy Gerela kick),0,17
3,4.0,Steelers,John Fuqua 3 yard rush,0,23
