,Quarter,Time,Tm,Detail,SEA,BAL
0,1.0,,Seahawks,Lamar Smith 4 yard rush (Todd Peterson kick),7,0
1,1.0,,Ravens,Matt Stover 24 yard field goal,7,3
2,2.0,,Seahawks,"Safety, Saleaumua sacked Zeier in end zone",9,3
3,2.0,,Ravens,Jermaine Lewis 89 yard punt return (Matt Stover kick),9,10
4,2.0,,Seahawks,Chad Brown 42 yard defensive fumble return (Lamar Smith run),17,10
5,2.0,,Ravens,Jermaine Lewis 66 yard punt return (Matt Stover kick),17,17
6,3.0,,Seahawks,James McKnight 60 yard pass from Warren Moon (Todd Peterson kick),24,17
7,3.0,,Ravens,Jermaine Lewis 29 yard pass from Eric Zeier (Matt Stover kick),24,24
8,4.0,,Ravens,Bam Morris 1 yard rush (Matt Stover kick),24,31
