,Quarter,Tm,Detail,DAL,OAK
0,1.0,Raiders,Raymond Chester 6 yard pass from Jim Plunkett (Chris Bahr kick),0,7
1,1.0,Cowboys,Tony Dorsett 20 yard rush (Rafael Septien kick),7,7
2,2.0,Cowboys,Rafael Septien 52 yard field goal,10,7
3,2.0,Cowboys,Ron Springs 2 yard rush,16,7
4,2.0,Raiders,Chris Bahr 22 yard field goal,16,10
5,3.0,Cowboys,Rafael Septien 34 yard field goal,19,10
6,3.0,Raiders,Chris Bahr 38 yard field goal,19,13
