,Quarter,Time,Tm,Detail,SEA,GNB
0,1,7:01,Seahawks,Josh Brown 30 yard field goal,3,0
1,2,9:13,Packers,Ryan Longwell 31 yard field goal,3,3
2,2,6:50,Seahawks,Josh Brown 35 yard field goal,6,3
3,2,4:37,Packers,Bubba Franks 23 yard pass from Brett Favre (Ryan Longwell kick),6,10
4,2,0:46,Packers,Ryan Longwell 27 yard field goal,6,13
5,3,9:28,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),13,13
6,3,1:57,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),20,13
7,4,10:01,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),20,20
8,4,2:44,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),20,27
9,4,0:51,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),27,27
10,OT,10:35,Packers,Al Harris 52 yard interception return,27,33
