,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,George Blanda 34 yard field goal,0,3
1,1.0,Chargers,Dennis Partee 14 yard field goal,3,3
2,1.0,Chargers,Jeff Queen 2 yard rush (Dennis Partee kick),10,3
3,2.0,Chargers,Mike Garrett 11 yard rush (Dennis Partee kick),17,3
4,2.0,Raiders,Raymond Chester 16 yard pass from Daryle Lamonica (George Blanda kick),17,10
5,2.0,Chargers,Mike Garrett 18 yard pass from John Hadl (Dennis Partee kick),24,10
6,3.0,Raiders,Raymond Chester 13 yard pass from Daryle Lamonica (George Blanda kick),24,17
7,3.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),24,24
8,4.0,Raiders,George Blanda 40 yard field goal,24,27
9,4.0,Raiders,Rod Sherman 32 yard pass from Daryle Lamonica (George Blanda kick),24,34
10,4.0,Chargers,Walker Gillette 15 yard pass from John Hadl (Dennis Partee kick),31,34
11,4.0,Chargers,"Safety, White tackled DePoyster in end zone",33,34
