,Quarter,Tm,Detail,SEA,CIN
0,1.0,Bengals,Stanley Wilson 2 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Jim Breech 37 yard field goal,0,10
2,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,10
3,3.0,Bengals,Eric Kattus 1 yard pass from Boomer Esiason (Jim Breech kick),7,17
4,4.0,Bengals,Eddie Edwards defensive fumble recovery in end zone (Jim Breech kick),7,24
5,4.0,Bengals,Jim Breech 34 yard field goal,7,27
6,4.0,Bengals,Louis Breeden 36 yard interception return (Jim Breech kick),7,34
