,Quarter,Tm,Detail,CRD,CLE
0,1.0,Browns,Lew Carpenter 10 yard rush (Lou Groza kick),0,7
1,2.0,Browns,Ray Renfro 65 yard pass from Tommy O'Connell (Lou Groza kick),0,14
2,2.0,Browns,Ray Renfro 23 yard pass from Tommy O'Connell (Lou Groza kick),0,21
3,3.0,Browns,Lou Groza 25 yard field goal,0,24
4,4.0,Browns,Chet Hanulak 5 yard rush (Lou Groza kick),0,31
