,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,John Taylor 68 yard pass from Steve Young (Mike Cofer kick),7,0
1,1.0,49ers,Sanjay Beach 20 yard pass from Steve Young (Mike Cofer kick),14,0
2,2.0,Lions,Jason Hanson 51 yard field goal,14,3
3,2.0,49ers,Jerry Rice 80 yard pass from Steve Young (Mike Cofer kick),21,3
4,2.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),28,3
5,2.0,49ers,Mike Cofer 43 yard field goal,31,3
6,2.0,Lions,Derrick Moore 12 yard pass from Erik Kramer (Jason Hanson kick),31,10
7,3.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),38,10
8,3.0,49ers,Amp Lee 12 yard pass from Steve Young (Mike Cofer kick),45,10
9,4.0,49ers,Mike Cofer 21 yard field goal,48,10
10,4.0,Lions,Herman Moore 31 yard pass from Erik Kramer (Jason Hanson kick),48,17
11,4.0,49ers,Dexter Carter 50 yard rush (Mike Cofer kick),55,17
