,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,,Panthers,Mark Carrier 12 yard pass from Kerry Collins (John Kasay kick),0,7
1,1.0,,Falcons,Morten Andersen 46 yard field goal,3,7
2,2.0,,Panthers,John Kasay 32 yard field goal,3,10
3,2.0,,Falcons,Morten Andersen 33 yard field goal,6,10
4,2.0,,Panthers,John Kasay 36 yard field goal,6,13
5,2.0,,Panthers,Wesley Walls 1 yard pass from Kerry Collins (John Kasay kick),6,20
6,3.0,,Panthers,John Kasay 53 yard field goal,6,23
7,4.0,,Panthers,John Kasay 38 yard field goal,6,26
8,4.0,,Panthers,John Kasay 42 yard field goal,6,29
