,Quarter,Tm,Detail,MIA,DAL
0,1.0,Cowboys,Mike Clark 9 yard field goal,0,3
1,2.0,Cowboys,Lance Alworth 7 yard pass from Roger Staubach (Mike Clark kick),0,10
2,2.0,Dolphins,Garo Yepremian 31 yard field goal,3,10
3,3.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),3,17
4,4.0,Cowboys,Mike Ditka 7 yard pass from Roger Staubach (Mike Clark kick),3,24
