,Quarter,Tm,Detail,SDG,PHI
0,1.0,Eagles,Paul McFadden 33 yard field goal,0,3
1,2.0,Eagles,Paul McFadden 34 yard field goal,0,6
2,3.0,Eagles,Paul McFadden 36 yard field goal,0,9
3,4.0,Eagles,Mike Quick 10 yard pass from Ron Jaworski (Paul McFadden kick),0,16
4,4.0,Chargers,Charlie Joiner 20 yard pass from Tom Flick (Rolf Benirschke kick),7,16
5,4.0,Eagles,Keith Byars 2 yard rush (Paul McFadden kick),7,23
