,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Benny Ricardo 27 yard field goal,0,3
1,2.0,Vikings,Bob Bruer 3 yard pass from Steve Dils (Benny Ricardo kick),0,10
2,2.0,Vikings,Dave Huffman special teams fumble recovery in end zone (Benny Ricardo kick),0,17
3,2.0,Lions,Mark Nichols 41 yard pass from Eric Hipple (Eddie Murray kick),7,17
4,3.0,Lions,Eddie Murray 24 yard field goal,10,17
5,3.0,Lions,Eric Hipple 1 yard rush (Eddie Murray kick),17,17
6,4.0,Vikings,Benny Ricardo 24 yard field goal,17,20
